email_idx,latency_ms,label
2878,43.589,1
2880,45.6651,1
2883,45.7675,1
2889,38.0769,1
2892,38.2968,1
2893,42.0036,1
2902,49.471,1
2907,47.2401,1
2908,44.5552,1
2927,39.5398,1
2929,41.5,1
2930,39.3817,1
2933,39.7181,1
2940,43.9795,1
2948,44.0777,1
2949,44.3018,1
2952,39.9694,1
2955,39.6403,1
2956,41.959,1
2957,41.597,1
2968,36.9835,1
2977,37.0983,1
2985,37.8668,1
2987,45.3633,1
2989,44.7043,1
2993,45.6563,1
2995,41.3677,1
2996,39.3659,1
3001,38.4705,1
3003,43.4827,1
3009,40.6681,1
3010,41.5968,1
3015,41.7046,1
3021,39.8997,1
3024,40.8937,1
3025,46.7968,1
3026,43.3908,1
3032,44.2936,1
3033,41.5386,1
3036,39.662,1
3039,42.2312,1
3045,44.624,1
3047,45.6776,1
3050,45.662,1
3060,37.5451,1
3063,38.0219,1
3072,38.3476,1
3073,40.8421,1
3078,42.8815,1
3086,44.6722,1
3095,46.5704,1
3100,45.348,1
3106,48.784,1
3111,43.7083,1
3117,43.9622,1
3118,41.6209,1
3128,43.6508,1
3139,43.0408,1
3140,45.2811,1
3151,43.5063,1
3156,43.6257,1
3157,39.3087,1
3158,38.1528,1
3162,37.8062,1
3165,38.4535,1
3168,39.861,1
3172,40.115,1
3173,41.497,1
3174,41.3771,1
3176,39.3292,1
3179,37.38,1
3192,39.9335,1
3195,38.9786,1
3196,38.3966,1
3197,37.9548,1
3199,36.9827,1
3205,43.0889,1
3207,41.6024,1
3210,40.6377,1
3216,38.6445,1
3222,40.4602,1
3249,40.202,1
3260,40.3064,1
3261,39.817,1
3266,38.783,1
3267,40.509,1
3269,39.6434,1
3271,37.7369,1
3272,38.0742,1
3274,42.4519,1
3276,37.705,1
3278,40.3496,1
3288,40.1873,1
3295,36.9483,1
3297,41.1834,1
3299,39.3822,1
3300,38.4693,1
3304,36.7161,1
3305,38.8981,1
3312,39.585,1
3313,40.5733,1
3315,44.6611,1
3321,40.9945,1
3325,41.6571,1
3328,43.2891,1
3330,41.9709,1
3335,39.4413,1
3337,40.1977,1
3354,41.2022,1
3356,39.1199,1
3357,38.9522,1
3367,41.0814,1
3370,39.3878,1
3374,39.3959,1
3375,40.5751,1
3379,94.0365,1
3380,49.8544,1
3384,39.7107,1
3386,38.4437,1
3401,39.3453,1
3406,39.8038,1
3408,39.2389,1
3417,38.334,1
3421,39.6163,1
3424,43.5327,1
3425,41.3022,1
3432,38.0669,1
3438,37.5952,1
3440,39.7624,1
3442,42.2318,1
3443,39.4964,1
3454,39.9122,1
3472,36.6315,1
3473,39.8567,1
3479,37.4395,1
3480,38.6876,1
3483,39.1945,1
3485,38.5293,1
3486,37.8649,1
3489,41.0282,1
3498,39.2886,1
3501,39.9299,1
3502,39.645,1
3504,39.4253,1
3508,39.0756,1
3511,41.7274,1
3515,36.6236,1
3517,39.2552,1
3525,45.2996,1
3526,40.659,1
3529,41.6739,1
3530,37.4828,1
3532,37.9294,1
3535,39.2955,1
3547,41.4438,1
3555,39.521,1
3559,39.7858,1
3560,42.4036,1
3565,42.61,1
3570,38.6664,1
3572,40.1347,1
3574,40.2027,1
3581,41.2061,1
3582,42.897,1
3583,37.5134,0
3585,38.7702,1
3589,41.3542,1
3590,38.7779,1
3592,41.0603,1
3597,37.254,1
3599,43.2213,1
3602,39.253,1
3604,42.2539,1
3605,42.9076,1
3606,40.3152,1
3608,40.1526,1
3619,39.8683,1
3623,38.5312,1
3626,37.4248,1
3627,39.0984,1
3630,38.7343,1
3634,37.0044,1
3637,39.4119,1
3639,41.1176,1
3664,38.4495,1
3665,41.8111,1
3667,40.2521,1
3677,37.4236,1
3685,39.9624,1
3687,41.0658,1
3689,38.4131,1
3694,41.1688,1
3697,41.8919,1
3700,37.4042,1
3701,38.7152,1
3703,41.3878,1
3704,38.1401,1
3712,45.3447,1
3717,43.1136,1
3719,40.5383,1
3731,40.7693,1
3745,40.2276,1
3748,38.0067,1
3749,38.8669,1
3751,37.8812,1
3757,41.5923,1
3758,39.3919,1
3762,40.6975,1
3776,39.9232,1
3778,38.8053,1
3779,38.925,1
3780,40.8164,1
3781,40.1972,1
3789,42.0865,1
3801,41.9722,1
3812,39.0487,1
3813,40.7116,1
3815,39.1454,1
3820,37.8891,1
3824,40.6602,1
3826,39.5242,1
3828,39.5996,1
3833,44.0558,1
3835,41.0266,1
3836,39.7442,1
3838,41.2532,1
3839,37.8199,1
3842,42.7306,1
3845,50.2105,1
3849,42.8349,1
3851,39.8677,1
3861,42.3061,1
3865,40.7939,1
3869,45.3984,1
3873,40.8835,1
3878,40.5465,1
3879,40.0216,1
3891,39.7878,1
3893,40.1202,1
3894,43.6772,1
3898,43.6846,1
3902,41.5234,1
3904,40.5678,1
3916,40.2457,1
3918,41.0826,1
3920,53.7475,1
3923,50.8502,1
3925,43.371,1
3931,47.3928,1
3934,45.9878,1
3938,47.7424,1
3943,52.5238,1
3945,47.2634,1
3948,49.659,1
3954,49.7885,1
3962,45.3996,1
3963,41.9093,1
3964,40.4315,1
3972,39.414,1
3978,41.0988,1
3981,43.9728,1
3986,39.3588,1
3990,40.2424,1
3992,42.0065,1
